campaign,filename,extension,TELESCOP,INSTRUME,CHANNEL,MODULE,OUTPUT,RADESYS,EQUINOX,WCSAXES,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,A_ORDER,B_ORDER,A_2_0,A_0_2,A_1_1,B_2_0,B_0_2,B_1_1,AP_ORDER,BP_ORDER,AP_1_0,AP_0_1,AP_2_0,AP_0_2,AP_1_1,BP_1_0,BP_0_1,BP_2_0,BP_0_2,BP_1_1
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,15,Kepler,Kepler Photometer,15,6,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,103.017682907,15.9623817948,560.502449804,556.885977396,-0.0010913056995,-0.000171606541306,-0.000172085882022,0.00109167099594,2,2,9.69924140912e-07,-1.66952407957e-07,1.77433424008e-07,-2.80710665872e-07,2.07256512438e-06,3.60988858627e-07,2,2,3.7127105918e-07,-5.46681451762e-08,-9.69918675232e-07,1.66987875564e-07,-1.77424009447e-07,1.10583206799e-07,1.46600606109e-06,2.80815051614e-07,-2.07300076272e-06,-3.61102308432e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,16,Kepler,Kepler Photometer,16,6,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.81595834,15.7173043839,596.413652138,503.609913803,0.00109031534309,-0.000178526693709,0.000177991893035,0.00109017765,2,2,4.86560112944e-07,3.6192448641e-07,-1.44435281989e-07,4.90908475521e-07,1.487530627e-06,7.44608196715e-07,2,2,1.51799327807e-07,1.90394753586e-07,-4.86600072054e-07,-3.61853854786e-07,1.44476933263e-07,5.33396491098e-07,1.10885475013e-06,-4.90974444882e-07,-1.48726174088e-06,-7.44519582029e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,21,Kepler,Kepler Photometer,21,8,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.834422252,21.361706144,540.411790572,563.804159179,-0.000183076067517,0.00108948579664,0.00108929163327,0.000182776179513,2,2,1.14694926369e-06,-1.18702469469e-07,5.16285236282e-07,-2.72437500586e-07,1.51750051795e-06,5.26146019497e-07,2,2,5.76080655344e-07,1.63270919246e-07,-1.14685004964e-06,1.18719901554e-07,-5.16214567337e-07,1.1802751036e-07,8.02241956838e-07,2.72447292713e-07,-1.51775235693e-06,-5.26314369263e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,22,Kepler,Kepler Photometer,22,8,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.596351336,22.6066087264,540.433864491,554.109552076,0.000184580130148,0.00108909719506,-0.0010891123944,0.000185139872401,2,2,6.17402478939e-07,-5.58440718808e-07,4.60413210311e-07,-4.83196223535e-08,6.08518246098e-07,9.48056646304e-07,2,2,2.41034398676e-08,-1.95685164996e-08,-6.17374047372e-07,5.58458481343e-07,-4.60296475329e-07,2.05798293873e-07,1.9724986637e-07,4.82802375793e-08,-6.08478354158e-07,-9.48070660861e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,23,Kepler,Kepler Photometer,23,8,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.947482289,22.7515221446,594.895218777,476.240155252,0.000174236836293,-0.00109054857556,-0.00109012874766,-0.000174736966496,2,2,9.58917230732e-07,-1.48003350141e-06,9.91425323684e-07,-2.10571769673e-07,1.03339145639e-06,2.33100556243e-07,2,2,1.96243923692e-07,-3.7444888363e-07,-9.58749589714e-07,1.47937687582e-06,-9.91816618828e-07,6.01675633989999e-08,2.52987347623e-07,2.10534667568e-07,-1.03316667528e-06,-2.32882554985e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,24,Kepler,Kepler Photometer,24,8,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,102.068086141,21.6807340707,657.210246786,529.168427627,-0.000173472340231,-0.00109058841666,0.00109098021898,-0.000173809315672,2,2,1.41895713626e-06,-7.15058725612e-08,8.57341521203e-07,5.86410656329e-07,3.13911169098e-07,6.02042895768e-07,2,2,9.20956976484e-07,4.11540694183e-07,-1.41991671355e-06,7.17475217913e-08,-8.58076089859e-07,4.82153659414e-07,3.02554064635e-07,-5.86816673989e-07,-3.13841690364e-07,-6.02502786218e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,25,Kepler,Kepler Photometer,25,9,1,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.531284304,24.3839690286,610.385487638,529.833028321,-0.00109069870842,-0.000174758275111,-0.000175333365527,0.0010907999621,2,2,5.86788974598e-07,5.92194548973999e-07,4.620345532e-07,1.15102410331e-06,-1.85607763068e-07,1.22836529658e-06,2,2,4.79977193053e-07,3.18397646556e-07,-5.86876574834e-07,-5.92224778836e-07,-4.6225394206e-07,6.84081337653e-07,4.6748979379e-07,-1.15129062016e-06,1.85664551e-07,-1.22860620828e-06
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,26,Kepler,Kepler Photometer,26,9,2,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.308822651,24.2103790541,594.287815185,539.143489241,0.00108926195797,-0.000184803652186,0.000184588165717,0.00108885455732,2,2,1.03247347414e-06,-2.88559607288e-08,8.3481503306e-07,4.40450401945e-07,5.70313461135e-07,4.57696407254e-08,2,2,6.21627878064e-07,2.84211208864e-07,-1.03263747455e-06,2.88911727713e-08,-8.34970888103e-07,1.98255623164e-07,2.64978194718e-07,-4.40513573612e-07,-5.7030053514799e-07,-4.58430822993e-08
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,27,Kepler,Kepler Photometer,27,9,3,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,100.110667077,25.3604402171,609.826545367,571.702835806,0.00108858396415,0.000187395904167,0.000187961493155,-0.00108872810366,2,2,7.24053764445e-07,4.66912743555e-07,4.93837732327e-07,-5.56306363978e-07,1.33031422071e-06,6.57989332937e-07,2,2,3.76924448204e-07,3.60227298178e-07,-7.24094000337e-07,-4.67065995056e-07,-4.94076433069e-07,1.80661369331e-08,5.59505687887e-07,5.56567896182e-07,-1.3307689489e-06,-6.58070214377e-07
0,wcs-ktwo2014070234206-c00_ffi-cal.fits,28,Kepler,Kepler Photometer,28,9,4,ICRS,2000.0,2,RA---TAN-SIP,DEC--TAN-SIP,101.390963545,25.6371598831,542.554482131,497.428524635,-0.00109052827791,0.00017733021265,-0.00017703569324,-0.0010904219579,2,2,1.73357763903e-06,6.00470666083e-07,1.42165415365e-06,-6.74416429871e-07,1.13954187069e-06,-3.2374900685e-07,2,2,1.56014303582e-06,1.09613674095e-06,-1.73323538798e-06,-6.00370831815e-07,-1.42096260134e-06,-6.64667898037e-07,-1.23415016847e-08,6.74169639814e-07,-1.13926893319e-06,3.23385999411e-07
